,,,,,,,,,,
,,,Sign Type,Trim Cap,Proposal Template,Thickness,Mounting,Specs,Side View,Package Includes
,6,BLADE SIGNS,Fabricated Illumimated Blade Sign,,A,N/A,N/A,"SIGN TYPE: DOUBLE SIDED ILLUMINATED BLADE SIGN
FACES: ACRYLIC FACE WITH VINYL APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
TRIM CAP: STANDARD/METALLIC TRIM CAP
ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY)
COLOR SPECS:
  • FACE COLOR: [ASK REP]
  • RETURN & TRIM COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]

* POWER SUPPLY TO BE INSIDE OF CABINET WITH ON/OFF SWITCH INSTALLED",TRUE,A
,,,Fabricated Non Illuminated Blade Sign,,,,,"SIGN TYPE: DOUBLE SIDED NON-ILLUMINATED BLADE SIGN
FACES: ALUMINUM FACE WITH VINYL/PAINT APPLICATION
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
RETURNS: [DEPTH]”
ILLUMINATED : N/A
COLOR SPECS:
  • FACE & RETURN COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]
",TRUE,B
,,,Flat Blade Sign,,,,,"SIGN TYPE: FLAT BLADE SIGN
BLADE FACE: ALUMINUM/SS
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
BLADE THICKNESS: 2.5 MM
ILLUMINATED : N/A
COLOR SPECS:
  • FACE COLOR: [ASK REP]
FINISH: SATIN
APPLICATION: [APPLICATION]",TRUE,B
,7,LED NEON SIGNS,Faux LED Neon Sign,,A,N/A,Flush Mount,"SIGN TYPE: FAUX LED NEON SIGN
FACE: ACRYLIC WITH FAUX LED NEON
NEON COLORS: [ASK REP]
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
SHAPE: [ASK REP]
ILLUMINATED : FAUX NEON LED
MOUNTING: WALL MOUNTED
ACRYLIC: [ASK REP]
APPLICATION: [APPLICATION]",TRUE,C
,,,,,,,Ceiling Hung,"SIGN TYPE: FAUX LED NEON SIGN
FACE: ACRYLIC WITH FAUX LED NEON
NEON COLORS: [ASK REP]
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
SHAPE: [ASK REP]
ILLUMINATED : FAUX NEON LED
MOUNTING: CEILING MOUNTED
ACRYLIC: [ASK REP]
APPLICATION: [APPLICATION]",TRUE,D
,,,Acrylic Neon Sign,,,,Flush Mount,"SIGN TYPE: ACRYLIC FAUX LED NEON SIGN
FACE: ACRYLIC WITH FAUX LED NEON ON THE BACK
NEON COLORS: [ASK REP]
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
SHAPE: [ASK REP]
ILLUMINATED : FAUX NEON LED
MOUNTING: WALL MOUNTED
ACRYLIC: [ASK REP]
APPLICATION: [APPLICATION]",TRUE,C
,,,,,,,Ceiling Hung,"SIGN TYPE: ACRYLIC FAUX LED NEON SIGN
FACE: ACRYLIC WITH FAUX LED NEON ON THE BACK
NEON COLORS: [ASK REP]
OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]""
SHAPE: [ASK REP]
ILLUMINATED : FAUX NEON LED
MOUNTING: CEILING MOUNTED
ACRYLIC: [ASK REP]
APPLICATION: [APPLICATION]",TRUE,D
,8,PYLON SIGNS,Pylon Sign,,B,N/A,N/A,Custom,N/A,N/A
,9,MONUMENT SIGNS,Monument Sign,,B,N/A,N/A,Custom,N/A,N/A
,10,"""+"" TYPE A NEW SIGN TYPE",Custom,,A,N/A,Custom,Custom,Custom,Custom
